NOME DO PRODUTO,PREÇO
20 BI 335 MG C/ 5 COMP.(MOMENTA)	,	 64.49 
20 BI 435 MG C/ 30 CAPS. (MOMENTA)	,	 200.46 
20 BI 435 MG PROBIOTICO C/ 10 CAPS.	,	 96.99 
5LENDRONATO DE SODIO 70 MG C/ 4 COMP. (CELLERA)	,	 55.75 
A CURITIBINA LIQUIDA C/ 5 ML (UNIAO QUIMICA)	,	 13.03 
A CURITIBINA PAST. 13 G (UNIAO QUIMICA)	,	 10.07 
A CURITYBINA PASTA 1 UNID. C/ 13 G	,	 6.53 
A SAUDE DA MULHER SOL. 150 ML	,	 18.65 
AAS INFANTI 100 MG C/ 10 COMP (SALICETIL)(BRASTERA	,	 2.45 
AAS INFANTIL C/ 10 COMP. (EMS)	,	 3.81 
ABAIXADOR LINGUA	,	 2.15 
ABIDOR 200 MG/ ML C/ 15 ML (AIRELA)	,	 11.83 
ABLOK 25 MG C/ 30 COMP.	,	 14.88 
ABLOK 50 MG C/ 30 COMP.	,	 35.58 
ABLOK PLUS  25/ 12.5 MG C/ 30 COMP.	,	 24.44 
ABLOK PLUS  25/ 12.5 MG C/ 60 COMP.	,	 48.89 
ABLOK PLUS  50/ 12.5 MG C/ 30 COMP.	,	 45.15 
ABLOK PLUS  50/ 12.5 MG C/ 60 COMP.	,	 90.32 
ABLOK PLUS 100/ 25 MG C/ 30 COMP.	,	 70.87 
ABRETIA 30 MG C/ 30 CAPS. (C1)	,	 96.42 
ABRIFIT XPE. C/ 100 ML (GEOLAB)	,	 34.55 
ABRILAR 65 MG C/ 10 SACHES X 3.4 G	,	 60.38 
ABRILAR XPE. C/ 100 ML	,	 45.03 
ABRILAR XPE. C/ 200 ML	,	 101.80 
ABS. ALWAYS BASICO C/ ABAS C/ 8 UNID. SUAVE/ SECA	,	 4.75 
ABS. ALWAYS BASICO SUAVE LEVE 10/ PAGUE 8	,	 5.55 
ABS. ALWAYS NOITES TRANQUILAS 8 UNIDS. C/ ABAS	,	 10.00 
ABS. ALWAYS NOITES TRANQUILAS C/ ABAS 16 UNID.	,	 18.62 
ABS. ALWAYS NOITES TRANQUILAS C/ ABAS 8 UNIDS.	,	 9.40 
ABS. ALWAYS NOITES TRANQUILAS C/ ABAS L16 P14	,	 18.69 
ABS. ALWAYS NOTURNO PLATINIUM C/ ABAS 8 UNIDS.	,	 8.72 
ABS. ALWAYS PROTECAO TOTAL C/ ABAS 8 UNID.	,	 8.57 
ABS. ALWAYS ULTRA FINO NOTURNO C/ ABAS 8 UNIDS.	,	 10.73 
ABS. CAREFREE PROTECAO C/ 15 UNID. ORIGINAL	,	 7.06 
ABS. INTIMUS C/ 8 UNID TEC.ANTIBAC.(COM ABAS)	,	 6.46 
ABS. INTIMUS GEL NOTURNO C/  8 UNID. C/ ABAS 	,	 10.17 
ABS. INTIMUS GEL NOTURNO C/ 16 UNID. C/ ABAS 	,	 17.26 
ABS. INTIMUS GEL TRIPLA PROTECAO C/ 8 UNID.	,	 6.33 
ABS. INTIMUS GEL TRIPLA PROTECAO C/ ABAS 32 UNID	,	 21.37 
ABS. INTIMUS GEL TRIPLA PROTECAO C/ ABAS 8 UNID	,	 7.00 
ABS. INTIMUS INTERNO C/  8 UNID. (SORTIDOS)	,	 12.00 
ABS. INTIMUS INTERNO C/ 16 UNID. (SORTIDOS)	,	 18.50 
ABS. LADYSOFT MAX PROTECT C/ ABAS SUAVE C/ 32 UNID	,	 11.43 
ABS. LADYSOFT NOTURNO C/ ABAS SUAVE C/ 16 UNID.	,	 12.78 
ABS. MASCULINO DRY MAN C/ 10 UNID.	,	 21.10 
ABS. NATURALMENTE LEVE  8 PAGUE 7 C/ ABAS	,	 2.70 
ABS. NATURALMENTE LEVE 16 PAGUE 13 C/ ABAS	,	 10.12 
ABS. OB MEDIO PROCOMFORT C/ 16 UNID. (JOHNSON)	,	 22.73 
ABS. OB SEMPRE LIVRE C/ 10 UNID.	,	 12.00 
ABS. P/ SEIOS AMAMENTE C/ 12 UNID. SUPERPREMIUM	,	 10.00 
ABS. P/ SEIOS AMAMENTE C/ 30 UNID. PREMIUM	,	 20.55 
ABS. P/ SEIOS AMAMENTE L. 24 P. 20 UNID. SUPERPREM	,	 21.61 
ABS. P/ SEIOS CREMER C/ 30 UNID. L. 30 P. 24	,	 25.95 
ABS. POS PARTO C/ 15 UNID. C/ GEL	,	 16.42 
ABS. SEMPRE LIVRE ADAPT PLUS C/  8 UNIDS.	,	 7.50 
ABS. SEMPRE LIVRE ADAPT PLUS C/ 16 UNIDS.	,	 15.00 
ABS. SEMPRE LIVRE ADAPT SUAVE C/ 8 UNIDS.	,	 6.90 
ABS. SEMPRE LIVRE ADAPT SUAVE C/ ABAS C/ 32 UNID.	,	 21.45 
ABS. SEMPRE LIVRE NOTURNO C/ ABAS 8 UNID. (SORTI	,	 12.56 
ABS. SYM 360º ULTRA SECA C/ ABAS L16 P14 UNIDS.	,	 7.47 
ABS. SYM NOITE & DIA C/ 30 UNID C/ ABAS	,	 19.58 
ABS. SYM NOITE E DIA C/ ABAS SUAVE C/ 8 UNIDS.	,	 6.30 
ABS. SYM NOTURNO SUAVE C/ ABAS L 16 P 14 UNID.	,	 11.18 
ABS. SYM PREMIUM C/ 16 UNID.SUAVE C/ ABAS	,	 9.97 
ABS. SYM PREMIUM NOTURNO C/ 8 UNID.(COM ABAS)	,	 12.56 
ABS. SYM PREMIUM SECO C/ ABAS C/ 8 UNID.	,	 12.56 
ABS. SYM PREMIUM SUAVE C/ 8 UNID.C/ ABAS	,	 7.00 
ABS. SYM TOTAL PROTECT C/ ABAS 30 UNIDS.	,	 14.20 
ABS. SYM TOTAL PROTECT C/ ABAS 8 UNIDS.	,	 3.93 
ABS. SYM TOTAL PROTECT C/ ABAS L16 P14 UNIDS.	,	 7.47 
ABS. SYM TOTAL PROTECT C/ ABAS SUAVE C/ 8 UNID.	,	 3.93 
ABS.ALWAYS BASICO C/ ABAS SUAVE C/ 32 UNID.	,	 18.70 
ABS.INTIMUS NOTURNO 2EM1 SUAVE C/ ABAS C/ 8 UNID.	,	 14.00 
ABS.P/ SEIOS C/ 30 UNID.(POLYFARMA)	,	 19.36 
ABV COMPOSTO DE MEL E PROPOLIS C/ 300 G	,	 8.03 
ABV EXTRATO DE PROPOLIS PET C/ 30 ML	,	 6.67 
ABV EXTRATO DE PROPOLIS VIDRO C/ 30 ML	,	 7.07 
ABV MEL PURO C/ 250 G S/ LARANJEIRA	,	 8.59 
ABV MEL PURO C/ 250 G S/ SILVESTRE	,	 6.91 
ABV SPRAY DE PROPOLIS C/ 35 ML	,	 5.28 
ACCU-CHEK ACTIVE C/ 25 TIRAS	,	 110.81 
ACCU-CHEK ACTIVE C/ 50 TIRAS	,	 211.93 
ACCU-CHEK ACTIVE KIT C/ 50 TIRAS	,	 163.06 
ACCU-CHEK ADVANTAGE II C/ 25 TIRAS	,	 131.19 
ACCU-CHEK ADVANTAGE II C/ 50 TIRAS	,	 223.67 
ACCU-CHEK SOFTCLIX C/ 25 LANC.	,	 27.06 
ACCUPRIL	,	 95.52 
ACCUPRIL	,	 158.52 
ACCUVIT C/ 30 COMP.  (POLIVITAMINICO + ASS.)	,	 137.24 
ACDELCO CERA LIMPADORA C/ 200 G	,	 9.68 
ACDELCO LIMPA PARABRISA C/ 100 ML	,	 3.81 
ACDELCO ODOROZADOR DE AMBIENTES GEL C/ 60 G	,	 5.30 
ACDELCO SILICONE GEL C/ 200 G	,	 10.65 
ACEBROFILINA XPE. AD. C/ 120 ML (EUROFARMA)	,	 37.85 
ACEBROFILINA XPE. PED. C/ 120 ML (BIOSINTETICA)	,	 26.00 
ACEBROFILINA XPE. PED. C/ 120 ML (EUROFARMA)	,	 26.85 
